  (1 -1| 0 0) 0.0000000000 + i*0.0000000000
  (1 -1| 2 -2) 0.0000000000 + i*0.0000000000
  (1 -1| 2 -1) 0.4472135960 + i*0.0000000000
  (1 -1| 2 0) 0.0000000000 + i*0.0000000000
  (1 -1| 2 1) 0.0000000000 + i*0.0000000000
  (1 -1| 2 2) 0.0000000000 + i*0.0000000000
  (1 0| 0 0) 0.5773502123 + i*0.0000000000
  (1 0| 2 -2) 0.0000000000 + i*0.0000000000
  (1 0| 2 -1) 0.0000000000 + i*0.0000000000
  (1 0| 2 0) 0.5163976519 + i*0.0000000000
  (1 0| 2 1) 0.0000000000 + i*0.0000000000
  (1 0| 2 2) 0.0000000000 + i*0.0000000000
  (1 1| 0 0) 0.0000000000 + i*0.0000000000
  (1 1| 2 -2) 0.0000000000 + i*0.0000000000
  (1 1| 2 -1) 0.0000000000 + i*0.0000000000
  (1 1| 2 0) 0.0000000000 + i*0.0000000000
  (1 1| 2 1) 0.4472135960 + i*0.0000000000
  (1 1| 2 2) 0.0000000000 + i*0.0000000000
  (2 -2| 1 -1) 0.0000000000 + i*0.0000000000
  (2 -2| 1 0) 0.0000000000 + i*0.0000000000
  (2 -2| 1 1) 0.0000000000 + i*0.0000000000
  (2 -2| 3 -3) 0.0000000000 + i*0.0000000000
  (2 -2| 3 -2) 0.3779644742 + i*0.0000000000
  (2 -2| 3 -1) 0.0000000000 + i*0.0000000000
  (2 -2| 3 0) 0.0000000000 + i*0.0000000000
  (2 -2| 3 1) 0.0000000000 + i*0.0000000000
  (2 -2| 3 2) 0.0000000000 + i*0.0000000000
  (2 -2| 3 3) 0.0000000000 + i*0.0000000000
  (2 -1| 1 -1) 0.4472135960 + i*0.0000000000
  (2 -1| 1 0) 0.0000000000 + i*0.0000000000
  (2 -1| 1 1) 0.0000000000 + i*0.0000000000
  (2 -1| 3 -3) 0.0000000000 + i*0.0000000000
  (2 -1| 3 -2) 0.0000000000 + i*0.0000000000
  (2 -1| 3 -1) 0.4780914444 + i*0.0000000000
  (2 -1| 3 0) 0.0000000000 + i*0.0000000000
  (2 -1| 3 1) 0.0000000000 + i*0.0000000000
  (2 -1| 3 2) 0.0000000000 + i*0.0000000000
  (2 -1| 3 3) 0.0000000000 + i*0.0000000000
  (2 0| 1 -1) 0.0000000000 + i*0.0000000000
  (2 0| 1 0) 0.5163976519 + i*0.0000000000
  (2 0| 1 1) 0.0000000000 + i*0.0000000000
  (2 0| 3 -3) 0.0000000000 + i*0.0000000000
  (2 0| 3 -2) 0.0000000000 + i*0.0000000000
  (2 0| 3 -1) 0.0000000000 + i*0.0000000000
  (2 0| 3 0) 0.5070923581 + i*0.0000000000
  (2 0| 3 1) 0.0000000000 + i*0.0000000000
  (2 0| 3 2) 0.0000000000 + i*0.0000000000
  (2 0| 3 3) 0.0000000000 + i*0.0000000000
  (2 1| 1 -1) 0.0000000000 + i*0.0000000000
  (2 1| 1 0) 0.0000000000 + i*0.0000000000
  (2 1| 1 1) 0.4472135960 + i*0.0000000000
  (2 1| 3 -3) 0.0000000000 + i*0.0000000000
  (2 1| 3 -2) 0.0000000000 + i*0.0000000000
  (2 1| 3 -1) 0.0000000000 + i*0.0000000000
  (2 1| 3 0) 0.0000000000 + i*0.0000000000
  (2 1| 3 1) 0.4780914444 + i*0.0000000000
  (2 1| 3 2) 0.0000000000 + i*0.0000000000
  (2 1| 3 3) 0.0000000000 + i*0.0000000000
  (2 2| 1 -1) 0.0000000000 + i*0.0000000000
  (2 2| 1 0) 0.0000000000 + i*0.0000000000
  (2 2| 1 1) 0.0000000000 + i*0.0000000000
  (2 2| 3 -3) 0.0000000000 + i*0.0000000000
  (2 2| 3 -2) 0.0000000000 + i*0.0000000000
  (2 2| 3 -1) 0.0000000000 + i*0.0000000000
  (2 2| 3 0) 0.0000000000 + i*0.0000000000
  (2 2| 3 1) 0.0000000000 + i*0.0000000000
  (2 2| 3 2) 0.3779644742 + i*0.0000000000
  (2 2| 3 3) 0.0000000000 + i*0.0000000000
  (3 -3| 2 -2) 0.0000000000 + i*0.0000000000
  (3 -3| 2 -1) 0.0000000000 + i*0.0000000000
  (3 -3| 2 0) 0.0000000000 + i*0.0000000000
  (3 -3| 2 1) 0.0000000000 + i*0.0000000000
  (3 -3| 2 2) 0.0000000000 + i*0.0000000000
  (3 -3| 4 -4) 0.0000000000 + i*0.0000000000
  (3 -3| 4 -3) 0.3333333370 + i*0.0000000000
  (3 -3| 4 -2) 0.0000000000 + i*0.0000000000
  (3 -3| 4 -1) 0.0000000000 + i*0.0000000000
  (3 -3| 4 0) 0.0000000000 + i*0.0000000000
  (3 -3| 4 1) 0.0000000000 + i*0.0000000000
  (3 -3| 4 2) 0.0000000000 + i*0.0000000000
  (3 -3| 4 3) 0.0000000000 + i*0.0000000000
  (3 -3| 4 4) 0.0000000000 + i*0.0000000000
  (3 -2| 2 -2) 0.3779644742 + i*0.0000000000
  (3 -2| 2 -1) 0.0000000000 + i*0.0000000000
  (3 -2| 2 0) 0.0000000000 + i*0.0000000000
  (3 -2| 2 1) 0.0000000000 + i*0.0000000000
  (3 -2| 2 2) 0.0000000000 + i*0.0000000000
  (3 -2| 4 -4) 0.0000000000 + i*0.0000000000
  (3 -2| 4 -3) 0.0000000000 + i*0.0000000000
  (3 -2| 4 -2) 0.4364357813 + i*0.0000000000
  (3 -2| 4 -1) 0.0000000000 + i*0.0000000000
  (3 -2| 4 0) 0.0000000000 + i*0.0000000000
  (3 -2| 4 1) 0.0000000000 + i*0.0000000000
  (3 -2| 4 2) 0.0000000000 + i*0.0000000000
  (3 -2| 4 3) 0.0000000000 + i*0.0000000000
  (3 -2| 4 4) 0.0000000000 + i*0.0000000000
  (3 -1| 2 -2) 0.0000000000 + i*0.0000000000
  (3 -1| 2 -1) 0.4780914444 + i*0.0000000000
  (3 -1| 2 0) 0.0000000000 + i*0.0000000000
  (3 -1| 2 1) 0.0000000000 + i*0.0000000000
  (3 -1| 2 2) 0.0000000000 + i*0.0000000000
  (3 -1| 4 -4) 0.0000000000 + i*0.0000000000
  (3 -1| 4 -3) 0.0000000000 + i*0.0000000000
  (3 -1| 4 -2) 0.0000000000 + i*0.0000000000
  (3 -1| 4 -1) 0.4879500386 + i*0.0000000000
  (3 -1| 4 0) 0.0000000000 + i*0.0000000000
  (3 -1| 4 1) 0.0000000000 + i*0.0000000000
  (3 -1| 4 2) 0.0000000000 + i*0.0000000000
  (3 -1| 4 3) 0.0000000000 + i*0.0000000000
  (3 -1| 4 4) 0.0000000000 + i*0.0000000000
  (3 0| 2 -2) 0.0000000000 + i*0.0000000000
  (3 0| 2 -1) 0.0000000000 + i*0.0000000000
  (3 0| 2 0) 0.5070923581 + i*0.0000000000
  (3 0| 2 1) 0.0000000000 + i*0.0000000000
  (3 0| 2 2) 0.0000000000 + i*0.0000000000
  (3 0| 4 -4) 0.0000000000 + i*0.0000000000
  (3 0| 4 -3) 0.0000000000 + i*0.0000000000
  (3 0| 4 -2) 0.0000000000 + i*0.0000000000
  (3 0| 4 -1) 0.0000000000 + i*0.0000000000
  (3 0| 4 0) 0.5039523702 + i*0.0000000000
  (3 0| 4 1) 0.0000000000 + i*0.0000000000
  (3 0| 4 2) 0.0000000000 + i*0.0000000000
  (3 0| 4 3) 0.0000000000 + i*0.0000000000
  (3 0| 4 4) 0.0000000000 + i*0.0000000000
  (3 1| 2 -2) 0.0000000000 + i*0.0000000000
  (3 1| 2 -1) 0.0000000000 + i*0.0000000000
  (3 1| 2 0) 0.0000000000 + i*0.0000000000
  (3 1| 2 1) 0.4780914444 + i*0.0000000000
  (3 1| 2 2) 0.0000000000 + i*0.0000000000
  (3 1| 4 -4) 0.0000000000 + i*0.0000000000
  (3 1| 4 -3) 0.0000000000 + i*0.0000000000
  (3 1| 4 -2) 0.0000000000 + i*0.0000000000
  (3 1| 4 -1) 0.0000000000 + i*0.0000000000
  (3 1| 4 0) 0.0000000000 + i*0.0000000000
  (3 1| 4 1) 0.4879500386 + i*0.0000000000
  (3 1| 4 2) 0.0000000000 + i*0.0000000000
  (3 1| 4 3) 0.0000000000 + i*0.0000000000
  (3 1| 4 4) 0.0000000000 + i*0.0000000000
  (3 2| 2 -2) 0.0000000000 + i*0.0000000000
  (3 2| 2 -1) 0.0000000000 + i*0.0000000000
  (3 2| 2 0) 0.0000000000 + i*0.0000000000
  (3 2| 2 1) 0.0000000000 + i*0.0000000000
  (3 2| 2 2) 0.3779644742 + i*0.0000000000
  (3 2| 4 -4) 0.0000000000 + i*0.0000000000
  (3 2| 4 -3) 0.0000000000 + i*0.0000000000
  (3 2| 4 -2) 0.0000000000 + i*0.0000000000
  (3 2| 4 -1) 0.0000000000 + i*0.0000000000
  (3 2| 4 0) 0.0000000000 + i*0.0000000000
  (3 2| 4 1) 0.0000000000 + i*0.0000000000
  (3 2| 4 2) 0.4364357813 + i*0.0000000000
  (3 2| 4 3) 0.0000000000 + i*0.0000000000
  (3 2| 4 4) 0.0000000000 + i*0.0000000000
  (3 3| 2 -2) 0.0000000000 + i*0.0000000000
  (3 3| 2 -1) 0.0000000000 + i*0.0000000000
  (3 3| 2 0) 0.0000000000 + i*0.0000000000
  (3 3| 2 1) 0.0000000000 + i*0.0000000000
  (3 3| 2 2) 0.0000000000 + i*0.0000000000
  (3 3| 4 -4) 0.0000000000 + i*0.0000000000
  (3 3| 4 -3) 0.0000000000 + i*0.0000000000
  (3 3| 4 -2) 0.0000000000 + i*0.0000000000
